"","x"
"1","283"
"2","316"
"3","389"
"4","390"
"5","391"
"6","565"
"7","576"
"8","577"
"9","578"
"10","613"
"11","661"
"12","716"
"13","717"
"14","718"
"15","893"
"16","894"
"17","900"
"18","920"
"19","1022"
"20","1046"
"21","1072"
"22","1073"
"23","1075"
"24","1076"
"25","1287"
"26","1573"
"27","1574"
"28","1593"
"29","1636"
"30","1637"
"31","1638"
"32","1639"
"33","1670"
"34","1673"
"35","1703"
"36","1733"
"37","1784"
"38","1916"
"39","1917"
"40","1918"
"41","1919"
"42","1920"
"43","1921"
"44","1940"
"45","1941"
"46","1964"
"47","1965"
"48","1966"
"49","1967"
"50","1968"
"51","1969"
"52","1970"
"53","1971"
"54","1973"
"55","1974"
"56","2053"
"57","2057"
"58","2122"
"59","2593"
"60","2594"
"61","2595"
"62","3258"
"63","3432"
"64","3433"
"65","3741"
"66","4725"
"67","4726"
"68","4798"
"69","4799"
"70","5518"
"71","5519"
"72","6180"
"73","6539"
"74","6540"
"75","6590"
"76","6591"
"77","6592"
"78","6593"
"79","6594"
"80","6595"
"81","6596"
"82","6597"
"83","6598"
"84","6599"
"85","6600"
"86","6601"
"87","6602"
"88","6603"
"89","6604"
"90","6605"
"91","6606"
"92","6640"
"93","6693"
"94","6740"
"95","6754"
"96","7105"
"97","7150"
"98","7200"
"99","7513"
"100","7515"
"101","7689"
"102","7690"
"103","7693"
"104","8379"
"105","8396"
"106","8706"
"107","8737"
"108","9408"
"109","9637"
"110","9753"
"111","9926"
"112","9927"
"113","9928"
"114","10062"
"115","10195"
"116","10470"
"117","10523"
"118","10718"
"119","10738"
"120","10739"
"121","10740"
"122","10741"
"123","10811"
"124","10812"
"125","10813"
"126","10815"
"127","10818"
"128","10819"
"129","10900"
"130","11055"
"131","11781"
"132","12356"
"133","12357"
"134","12358"
"135","12359"
"136","12360"
"137","12361"
"138","12362"
"139","12363"
"140","12364"
"141","12365"
"142","12752"
"143","12896"
"144","12897"
"145","12899"
"146","12901"
"147","12902"
"148","12906"
"149","12908"
"150","12909"
"151","12910"
"152","13002"
"153","13079"
"154","13080"
"155","13178"
"156","13179"
"157","13180"
"158","13181"
"159","13182"
"160","13183"
"161","13184"
"162","13185"
"163","13186"
"164","13187"
"165","13188"
"166","13189"
"167","13190"
"168","13191"
"169","13192"
"170","13193"
"171","13194"
"172","13280"
"173","13283"
"174","13284"
"175","13285"
"176","13287"
"177","13290"
"178","13291"
"179","13293"
"180","13294"
"181","13299"
"182","13300"
"183","13305"
"184","13311"
"185","13312"
"186","13488"
"187","13492"
"188","13660"
"189","13791"
"190","13792"
"191","13795"
"192","13805"
"193","13807"
"194","13810"
"195","13813"
"196","13939"
"197","14001"
"198","14002"
"199","14003"
"200","14004"
"201","14005"
"202","14006"
"203","14007"
"204","14008"
"205","14009"
"206","14010"
"207","14011"
"208","14012"
"209","14013"
"210","14014"
"211","14015"
"212","14016"
"213","14017"
"214","14018"
"215","14019"
"216","14020"
"217","14021"
"218","14022"
"219","14023"
"220","14024"
"221","14025"
"222","14026"
"223","14027"
"224","14028"
"225","14029"
"226","14030"
"227","14031"
"228","14032"
"229","14033"
"230","14034"
"231","14035"
"232","14036"
"233","14037"
"234","14055"
"235","14056"
"236","14058"
"237","14061"
"238","14062"
"239","14064"
"240","14070"
"241","14071"
"242","14076"
"243","14082"
"244","14083"
"245","14085"
"246","14088"
"247","14091"
"248","14092"
"249","14094"
"250","14486"
"251","14492"
"252","14524"
"253","14525"
"254","14543"
"255","14554"
"256","14555"
"257","14556"
"258","14557"
"259","14627"
"260","14628"
"261","14649"
"262","14650"
"263","14672"
"264","14674"
"265","14675"
"266","14676"
"267","14677"
"268","14678"
"269","14679"
"270","14680"
"271","14681"
"272","14682"
"273","14683"
"274","14684"
"275","14685"
"276","14686"
"277","14687"
"278","14688"
"279","14689"
"280","14690"
"281","14691"
"282","14692"
"283","14693"
"284","14694"
"285","14695"
"286","14696"
"287","14715"
"288","14716"
"289","14717"
"290","14724"
"291","14726"
"292","14727"
"293","14815"
"294","14846"
"295","14847"
"296","14848"
"297","14849"
"298","14850"
"299","14851"
"300","14854"
"301","14855"
"302","14856"
"303","14867"
"304","14868"
"305","14871"
"306","14873"
"307","14874"
"308","14875"
"309","14912"
"310","14913"
"311","14942"
"312","14943"
"313","14944"
"314","15049"
"315","15050"
"316","15280"
"317","15386"
"318","15482"
"319","15483"
"320","16233"
"321","16393"
"322","16394"
"323","16396"
"324","16436"
"325","16437"
"326","16476"
"327","16477"
"328","17145"
"329","17146"
"330","17147"
"331","17148"
"332","17594"
"333","17595"
"334","17729"
"335","17730"
"336","17784"
"337","17785"
"338","17786"
"339","17787"
"340","17788"
"341","17789"
"342","17790"
"343","17835"
"344","17991"
"345","17994"
"346","17997"
"347","17998"
"348","17999"
"349","18000"
"350","18001"
"351","18002"
"352","18003"
"353","18004"
"354","18005"
"355","18006"
"356","18008"
"357","18009"
"358","18010"
"359","18011"
"360","18087"
"361","18088"
"362","18243"
"363","18262"
"364","18386"
"365","18434"
"366","18632"
"367","18633"
"368","18634"
"369","18635"
"370","18639"
"371","18669"
"372","18670"
"373","18671"
"374","18672"
"375","18673"
"376","18675"
"377","18677"
"378","18728"
"379","18865"
"380","18866"
"381","18867"
"382","18868"
"383","18905"
"384","18906"
"385","18910"
"386","18911"
"387","18912"
"388","19013"
"389","19014"
"390","19015"
"391","19017"
"392","19019"
"393","19020"
"394","19021"
"395","19022"
"396","19023"
"397","19024"
"398","19025"
"399","19026"
"400","19029"
"401","19030"
"402","19031"
"403","19032"
"404","19058"
"405","19059"
"406","19060"
"407","19061"
"408","19063"
"409","19064"
"410","19074"
"411","19078"
"412","19079"
"413","19080"
"414","19133"
"415","19134"
"416","19135"
"417","19136"
"418","19141"
"419","19142"
"420","19143"
"421","19144"
"422","19146"
"423","19147"
"424","19148"
"425","19149"
"426","19191"
"427","19229"
"428","19328"
"429","19755"
"430","20417"
"431","20418"
"432","20419"
"433","20420"
"434","20746"
"435","21040"
"436","21516"
"437","21517"
"438","21518"
"439","21692"
"440","21704"
"441","21929"
"442","22540"
"443","22541"
"444","22546"
"445","22547"
"446","22551"
"447","22762"
"448","22781"
"449","23311"
"450","23483"
"451","23735"
"452","23736"
"453","23737"
"454","24614"
"455","24615"
"456","24616"
"457","24720"
"458","25601"
"459","26301"
"460","26302"
"461","26697"
"462","27152"
"463","27354"
"464","27498"
"465","27792"
"466","27985"
"467","27986"
"468","27987"
"469","28130"
"470","28146"
"471","28147"
"472","28148"
"473","28149"
"474","28150"
"475","28151"
"476","28152"
"477","28154"
"478","28155"
"479","28158"
"480","28159"
"481","28160"
"482","28210"
"483","28213"
"484","28220"
"485","28221"
"486","28223"
"487","28225"
"488","28228"
"489","28229"
"490","28230"
"491","28231"
"492","28232"
"493","28234"
"494","28237"
"495","28238"
"496","28239"
"497","28240"
"498","28241"
"499","28244"
"500","28245"
"501","28282"
"502","28284"
"503","28295"
"504","28300"
"505","28302"
"506","28303"
"507","28304"
"508","28305"
"509","28306"
"510","28307"
"511","28308"
"512","28310"
"513","28416"
"514","28417"
"515","28504"
"516","30085"
"517","30087"
"518","30147"
"519","30275"
"520","30276"
"521","30284"
"522","30285"
"523","30286"
"524","30328"
"525","30347"
"526","30348"
"527","30349"
"528","30591"
"529","30600"
"530","30617"
"531","30618"
"532","30619"
"533","30620"
"534","30621"
"535","30622"
"536","30626"
"537","30630"
"538","30631"
"539","30633"
"540","30634"
"541","30635"
"542","30636"
"543","30637"
"544","30639"
"545","30714"
"546","30811"
"547","30812"
"548","30813"
"549","30814"
"550","30815"
"551","30816"
"552","30817"
"553","30818"
"554","30820"
"555","30821"
"556","30822"
"557","30823"
"558","30824"
"559","30825"
"560","30826"
"561","30827"
"562","30828"
"563","30829"
"564","30830"
"565","30831"
"566","30833"
"567","30834"
"568","30835"
"569","30836"
"570","30840"
"571","30841"
"572","30842"
"573","30843"
"574","30844"
"575","30872"
"576","30873"
"577","30944"
"578","30948"
"579","31018"
"580","31286"
"581","31287"
"582","31334"
"583","31335"
"584","31336"
"585","31514"
"586","31515"
"587","31691"
"588","31692"
"589","31695"
"590","31751"
"591","31752"
"592","31754"
"593","31828"
"594","32228"
"595","32234"
"596","32235"
"597","32320"
"598","32321"
"599","32322"
"600","33193"
"601","33194"
"602","33195"
"603","33196"
"604","33197"
"605","33198"
"606","33232"
"607","33267"
"608","33268"
"609","33607"
"610","33608"
"611","33671"
"612","33672"
"613","33673"
"614","33674"
"615","33676"
"616","33707"
"617","33708"
"618","33831"
"619","33832"
"620","33833"
"621","33834"
"622","33835"
"623","33836"
"624","33837"
"625","33838"
"626","33840"
"627","33841"
"628","33842"
"629","33844"
"630","33845"
"631","33851"
"632","33870"
"633","33872"
"634","33911"
"635","33912"
"636","33992"
"637","33993"
"638","33994"
"639","33997"
"640","34000"
"641","34367"
"642","34369"
"643","34370"
"644","35225"
"645","35242"
"646","35243"
"647","35306"
"648","35632"
"649","35697"
"650","35749"
"651","35750"
"652","35751"
"653","35752"
"654","35753"
"655","35754"
"656","35755"
"657","35757"
"658","35758"
"659","36025"
"660","36026"
"661","36108"
"662","36109"
"663","36534"
"664","36535"
"665","36777"
"666","36925"
"667","37025"
"668","37026"
"669","37027"
"670","37030"
"671","37031"
"672","37151"
"673","37168"
"674","37242"
"675","37334"
"676","37355"
"677","37402"
"678","37404"
"679","37405"
"680","37409"
"681","37413"
"682","37417"
"683","37418"
"684","37646"
"685","37843"
"686","37878"
"687","37929"
"688","37930"
"689","37931"
"690","38027"
"691","38259"
"692","38600"
"693","38603"
"694","38605"
"695","38631"
"696","38633"
"697","38634"
"698","38635"
"699","38636"
"700","38637"
"701","38638"
"702","38639"
"703","38641"
"704","38642"
"705","38643"
"706","38645"
"707","38646"
"708","38647"
"709","38648"
"710","38649"
"711","38671"
"712","38672"
"713","38673"
"714","38675"
"715","39029"
"716","39030"
"717","39031"
"718","39032"
"719","39033"
"720","39034"
"721","39035"
"722","39046"
"723","39047"
"724","39048"
"725","39049"
"726","39050"
"727","39051"
"728","39052"
"729","39354"
"730","39836"
"731","40991"
"732","41018"
"733","41545"
"734","41546"
"735","41848"
"736","42228"
"737","42230"
"738","42231"
"739","42470"
"740","42472"
"741","42473"
"742","42474"
"743","42475"
"744","42476"
"745","42510"
"746","42511"
"747","42512"
"748","42513"
"749","42541"
"750","42542"
"751","42543"
"752","42564"
"753","42565"
"754","42566"
"755","42567"
"756","42568"
"757","42615"
"758","42616"
"759","42617"
"760","42738"
"761","42739"
"762","42740"
"763","42741"
"764","42742"
"765","42743"
"766","42744"
"767","42745"
"768","42746"
"769","42747"
"770","42748"
"771","42844"
"772","42845"
"773","42846"
"774","42848"
"775","42852"
"776","42853"
"777","42856"
"778","42857"
"779","42858"
"780","42953"
"781","42954"
"782","42955"
"783","42957"
"784","42958"
"785","43008"
"786","43011"
"787","43014"
"788","43153"
"789","43159"
"790","43163"
"791","43165"
"792","43166"
"793","43169"
"794","43170"
"795","43254"
"796","43389"
"797","43586"
"798","43587"
"799","43748"
"800","43749"
"801","43777"
"802","43778"
"803","43779"
"804","43782"
"805","43783"
"806","43784"
"807","43785"
"808","43786"
"809","43787"
"810","43794"
"811","43797"
"812","43799"
"813","43801"
"814","43805"
"815","43809"
"816","43932"
"817","44177"
"818","44810"
"819","44811"
"820","44812"
"821","44813"
"822","45007"
"823","45241"
"824","45243"
"825","45244"
"826","45245"
"827","45246"
"828","45247"
"829","45248"
"830","45249"
"831","45250"
"832","45251"
"833","45252"
"834","45253"
"835","45254"
"836","45255"
"837","45256"
"838","45257"
"839","45258"
"840","45259"
"841","45260"
"842","45261"
"843","45262"
"844","45392"
"845","45935"
"846","46035"
"847","47007"
"848","47008"
"849","47101"
"850","47102"
"851","47103"
"852","47104"
"853","47105"
"854","47106"
"855","47107"
"856","47108"
"857","47109"
"858","47110"
"859","47111"
"860","47404"
"861","47466"
"862","47467"
"863","47468"
"864","47469"
"865","47470"
"866","47471"
"867","47475"
"868","47512"
"869","47513"
"870","47843"
"871","47844"
"872","47914"
"873","47967"
"874","47970"
"875","47971"
"876","47976"
"877","47978"
"878","48095"
"879","48110"
"880","48180"
"881","48298"
"882","48417"
"883","48471"
"884","48876"
"885","48961"
"886","48963"
"887","48964"
"888","48965"
"889","48966"
"890","48968"
"891","48969"
"892","49015"
"893","49020"
"894","49022"
"895","49024"
"896","49025"
"897","49027"
"898","49030"
"899","49031"
"900","49032"
"901","49033"
"902","49036"
"903","49039"
"904","49041"
"905","49045"
"906","49047"
"907","49050"
"908","49053"
"909","49054"
"910","49056"
"911","49172"
"912","49173"
"913","49174"
"914","49175"
"915","49176"
"916","49177"
"917","49495"
"918","49721"
"919","49722"
"920","49803"
"921","49805"
"922","49806"
"923","49807"
"924","49808"
"925","49931"
"926","49938"
"927","49939"
"928","50156"
"929","50179"
"930","50229"
"931","50230"
"932","50231"
"933","50232"
"934","50233"
"935","50234"
"936","50304"
"937","50305"
"938","50306"
"939","50307"
"940","50308"
"941","50309"
"942","50310"
"943","50311"
