"","x"
"1","179"
"2","180"
"3","181"
"4","182"
"5","183"
"6","184"
"7","185"
"8","186"
"9","187"
"10","197"
"11","198"
"12","199"
"13","200"
"14","201"
"15","202"
"16","203"
"17","204"
"18","205"
"19","206"
"20","207"
"21","208"
"22","209"
"23","314"
"24","315"
"25","1074"
"26","1264"
"27","1265"
"28","1266"
"29","1267"
"30","1268"
"31","1269"
"32","1270"
"33","1271"
"34","1272"
"35","1334"
"36","1335"
"37","1336"
"38","1337"
"39","1338"
"40","1339"
"41","1340"
"42","1341"
"43","1575"
"44","1671"
"45","1672"
"46","1674"
"47","1675"
"48","1914"
"49","1972"
"50","2054"
"51","2056"
"52","2503"
"53","2504"
"54","2505"
"55","2521"
"56","2767"
"57","3174"
"58","3175"
"59","3967"
"60","3968"
"61","4727"
"62","4800"
"63","4801"
"64","4802"
"65","4803"
"66","5845"
"67","6216"
"68","6589"
"69","6639"
"70","6741"
"71","6756"
"72","6757"
"73","6758"
"74","7149"
"75","7151"
"76","7516"
"77","7691"
"78","7692"
"79","8038"
"80","8731"
"81","8732"
"82","8733"
"83","8788"
"84","8789"
"85","8790"
"86","8791"
"87","8792"
"88","9925"
"89","10416"
"90","10522"
"91","10717"
"92","10719"
"93","10814"
"94","10816"
"95","10817"
"96","11236"
"97","11329"
"98","11330"
"99","11331"
"100","12366"
"101","12367"
"102","12368"
"103","12751"
"104","12898"
"105","12900"
"106","12903"
"107","12904"
"108","12905"
"109","12907"
"110","12913"
"111","13003"
"112","13099"
"113","13100"
"114","13177"
"115","13277"
"116","13278"
"117","13279"
"118","13281"
"119","13282"
"120","13286"
"121","13288"
"122","13289"
"123","13292"
"124","13295"
"125","13296"
"126","13297"
"127","13298"
"128","13301"
"129","13302"
"130","13303"
"131","13304"
"132","13306"
"133","13307"
"134","13308"
"135","13309"
"136","13310"
"137","13313"
"138","13489"
"139","13490"
"140","13491"
"141","13804"
"142","13806"
"143","13808"
"144","13809"
"145","13811"
"146","13812"
"147","14057"
"148","14059"
"149","14060"
"150","14063"
"151","14065"
"152","14066"
"153","14067"
"154","14068"
"155","14069"
"156","14072"
"157","14073"
"158","14074"
"159","14075"
"160","14077"
"161","14078"
"162","14079"
"163","14080"
"164","14081"
"165","14084"
"166","14086"
"167","14087"
"168","14089"
"169","14090"
"170","14484"
"171","14485"
"172","14522"
"173","14523"
"174","14545"
"175","14558"
"176","14673"
"177","14697"
"178","14714"
"179","14718"
"180","14719"
"181","14720"
"182","14721"
"183","14722"
"184","14723"
"185","14725"
"186","14813"
"187","14814"
"188","14816"
"189","14844"
"190","14845"
"191","14852"
"192","14853"
"193","14858"
"194","14869"
"195","14870"
"196","14872"
"197","15051"
"198","15385"
"199","15484"
"200","15731"
"201","15732"
"202","15733"
"203","15734"
"204","16098"
"205","16099"
"206","16395"
"207","16474"
"208","16475"
"209","16478"
"210","16859"
"211","16860"
"212","16861"
"213","16862"
"214","16863"
"215","16864"
"216","16865"
"217","16866"
"218","16867"
"219","16868"
"220","16869"
"221","16870"
"222","16871"
"223","16872"
"224","16873"
"225","16874"
"226","16875"
"227","16876"
"228","16877"
"229","16878"
"230","16879"
"231","16880"
"232","16881"
"233","16882"
"234","16883"
"235","16884"
"236","16885"
"237","17292"
"238","17363"
"239","17364"
"240","17365"
"241","17990"
"242","17992"
"243","17993"
"244","17995"
"245","17996"
"246","18007"
"247","18012"
"248","18013"
"249","18014"
"250","18263"
"251","18264"
"252","18384"
"253","18385"
"254","18387"
"255","18388"
"256","18389"
"257","18433"
"258","18565"
"259","18630"
"260","18631"
"261","18636"
"262","18637"
"263","18638"
"264","18674"
"265","18729"
"266","18793"
"267","18907"
"268","18908"
"269","18909"
"270","19016"
"271","19018"
"272","19027"
"273","19028"
"274","19062"
"275","19081"
"276","19132"
"277","19137"
"278","19138"
"279","19139"
"280","19140"
"281","19145"
"282","19150"
"283","19327"
"284","20660"
"285","21429"
"286","21519"
"287","21520"
"288","21521"
"289","21522"
"290","21523"
"291","21524"
"292","21525"
"293","21693"
"294","21705"
"295","22255"
"296","22542"
"297","22543"
"298","22544"
"299","22548"
"300","22549"
"301","22550"
"302","22584"
"303","22585"
"304","22586"
"305","22587"
"306","22588"
"307","22594"
"308","22761"
"309","22763"
"310","22782"
"311","23470"
"312","23677"
"313","24600"
"314","24601"
"315","24723"
"316","24724"
"317","25316"
"318","26292"
"319","26995"
"320","27351"
"321","27352"
"322","27353"
"323","27599"
"324","27600"
"325","27953"
"326","28131"
"327","28132"
"328","28134"
"329","28153"
"330","28156"
"331","28157"
"332","28207"
"333","28208"
"334","28209"
"335","28211"
"336","28212"
"337","28214"
"338","28215"
"339","28216"
"340","28217"
"341","28218"
"342","28219"
"343","28222"
"344","28224"
"345","28226"
"346","28227"
"347","28233"
"348","28235"
"349","28236"
"350","28242"
"351","28243"
"352","28246"
"353","28257"
"354","28280"
"355","28281"
"356","28283"
"357","28285"
"358","28301"
"359","28309"
"360","28311"
"361","28312"
"362","28415"
"363","28418"
"364","28420"
"365","28424"
"366","28484"
"367","29080"
"368","29081"
"369","29094"
"370","29095"
"371","29696"
"372","30049"
"373","30082"
"374","30083"
"375","30084"
"376","30086"
"377","30088"
"378","30282"
"379","30326"
"380","30327"
"381","30329"
"382","30330"
"383","30331"
"384","30332"
"385","30333"
"386","30334"
"387","30335"
"388","30433"
"389","30434"
"390","30623"
"391","30624"
"392","30625"
"393","30627"
"394","30628"
"395","30629"
"396","30632"
"397","30638"
"398","30738"
"399","30819"
"400","30832"
"401","30837"
"402","30838"
"403","30839"
"404","30845"
"405","30874"
"406","30875"
"407","30943"
"408","30947"
"409","30955"
"410","31278"
"411","31330"
"412","31331"
"413","31332"
"414","31333"
"415","31512"
"416","31513"
"417","31516"
"418","31693"
"419","31694"
"420","31753"
"421","31755"
"422","31756"
"423","31757"
"424","31758"
"425","31759"
"426","31825"
"427","31826"
"428","32045"
"429","32229"
"430","32230"
"431","32231"
"432","32232"
"433","32233"
"434","32301"
"435","32302"
"436","32303"
"437","32304"
"438","32305"
"439","32306"
"440","33117"
"441","33118"
"442","33119"
"443","33188"
"444","33199"
"445","33675"
"446","33677"
"447","33709"
"448","33710"
"449","33711"
"450","33712"
"451","33714"
"452","33715"
"453","33839"
"454","33843"
"455","33846"
"456","33847"
"457","33848"
"458","33849"
"459","33850"
"460","33852"
"461","33853"
"462","33854"
"463","33855"
"464","33871"
"465","33991"
"466","33995"
"467","33996"
"468","33998"
"469","33999"
"470","34001"
"471","34274"
"472","34368"
"473","35756"
"474","36709"
"475","36926"
"476","37028"
"477","37029"
"478","37169"
"479","37204"
"480","37205"
"481","37243"
"482","37331"
"483","37332"
"484","37333"
"485","37335"
"486","37354"
"487","37356"
"488","37403"
"489","37406"
"490","37407"
"491","37408"
"492","37410"
"493","37411"
"494","37412"
"495","37414"
"496","37415"
"497","37416"
"498","37419"
"499","37420"
"500","37422"
"501","37423"
"502","37643"
"503","37860"
"504","37977"
"505","37978"
"506","38028"
"507","38029"
"508","38260"
"509","38261"
"510","38601"
"511","38602"
"512","38604"
"513","38619"
"514","38620"
"515","38621"
"516","38622"
"517","38623"
"518","38632"
"519","38640"
"520","38674"
"521","39835"
"522","40672"
"523","40673"
"524","40674"
"525","40990"
"526","41140"
"527","41141"
"528","41142"
"529","41143"
"530","41144"
"531","41145"
"532","41146"
"533","42471"
"534","42842"
"535","42843"
"536","42847"
"537","42849"
"538","42850"
"539","42851"
"540","42854"
"541","42855"
"542","42859"
"543","42952"
"544","42956"
"545","43007"
"546","43012"
"547","43013"
"548","43152"
"549","43160"
"550","43161"
"551","43162"
"552","43164"
"553","43167"
"554","43168"
"555","43179"
"556","43255"
"557","43390"
"558","43449"
"559","43475"
"560","43476"
"561","43557"
"562","43780"
"563","43781"
"564","43788"
"565","43795"
"566","43796"
"567","43798"
"568","43800"
"569","43802"
"570","43803"
"571","43804"
"572","43806"
"573","43807"
"574","43808"
"575","44175"
"576","44176"
"577","44178"
"578","44179"
"579","44180"
"580","44181"
"581","44182"
"582","44193"
"583","44194"
"584","44195"
"585","44542"
"586","44615"
"587","45006"
"588","45242"
"589","46036"
"590","47005"
"591","47006"
"592","47476"
"593","47948"
"594","47949"
"595","47950"
"596","47966"
"597","47968"
"598","47969"
"599","47972"
"600","47973"
"601","47974"
"602","47975"
"603","47977"
"604","48094"
"605","48297"
"606","48415"
"607","48416"
"608","48418"
"609","48419"
"610","48420"
"611","48714"
"612","49034"
"613","49226"
"614","49227"
"615","49254"
"616","49584"
"617","49802"
"618","49804"
"619","49930"
"620","49940"
"621","50303"
"622","50313"
"623","50314"
"624","50323"
"625","50324"
"626","50571"
"627","50702"
"628","50791"
"629","51136"
"630","51138"
"631","51140"
"632","51409"
"633","51702"
"634","51720"
"635","51721"
"636","51722"
"637","51820"
"638","51824"
"639","51826"
"640","51829"
"641","51830"
"642","51974"
"643","51976"
"644","51978"
"645","51990"
"646","51992"
"647","52152"
"648","52618"
"649","52915"
"650","53479"
"651","54174"
"652","54286"
"653","54358"
"654","54365"
"655","54878"
"656","55195"
"657","55197"
"658","55494"
"659","55588"
"660","55589"
"661","55857"
"662","55858"
"663","56085"
"664","56086"
"665","56087"
"666","56154"
"667","58254"
"668","58255"
"669","58256"
"670","58257"
"671","58258"
"672","58259"
"673","58390"
"674","58392"
"675","58393"
"676","58394"
"677","58395"
"678","58448"
"679","58449"
"680","58451"
"681","58538"
"682","58540"
"683","58542"
"684","58546"
"685","58547"
"686","58548"
"687","58558"
"688","58607"
"689","58608"
"690","58609"
"691","58610"
"692","59322"
"693","59323"
"694","59324"
"695","59325"
"696","59326"
"697","59327"
"698","59328"
"699","59329"
"700","59330"
"701","59331"
"702","59332"
"703","59333"
"704","59334"
"705","59335"
"706","59336"
"707","59337"
"708","59550"
"709","59551"
"710","59577"
"711","59579"
"712","60048"
"713","60611"
"714","61905"
"715","61915"
"716","61916"
"717","61944"
"718","61945"
"719","62029"
"720","62031"
"721","62032"
"722","62033"
"723","62467"
"724","62468"
"725","62469"
"726","62634"
"727","62638"
"728","62683"
"729","62850"
"730","62853"
"731","63248"
"732","64302"
"733","64668"
"734","65175"
"735","65176"
"736","65406"
"737","65407"
"738","65652"
"739","66188"
"740","66355"
"741","66500"
"742","66643"
"743","66939"
"744","67404"
"745","67408"
"746","67409"
"747","67411"
"748","67413"
"749","67421"
"750","67422"
"751","67426"
"752","67427"
"753","67428"
"754","67545"
"755","67894"
"756","67927"
"757","67928"
"758","68302"
"759","68430"
"760","68508"
"761","68509"
"762","68943"
"763","69211"
"764","69551"
"765","69627"
"766","69628"
"767","69629"
"768","69716"
"769","69721"
"770","70030"
"771","70032"
"772","70034"
"773","70035"
"774","70131"
"775","70332"
"776","70485"
"777","70486"
"778","70487"
"779","70488"
"780","70489"
"781","70490"
"782","70491"
"783","70492"
"784","70493"
"785","70494"
"786","70499"
"787","70501"
"788","70505"
"789","70507"
"790","70508"
"791","70920"
"792","70921"
"793","70922"
"794","70923"
"795","70925"
"796","70926"
"797","70927"
"798","71795"
"799","71796"
"800","71802"
"801","71803"
"802","71804"
"803","71805"
"804","71889"
"805","71924"
"806","72014"
"807","72636"
"808","72717"
"809","73244"
"810","73246"
"811","73407"
"812","73409"
"813","73497"
"814","73498"
"815","73888"
"816","73891"
"817","73994"
"818","73996"
"819","73997"
"820","74559"
"821","74560"
"822","74859"
"823","74978"
"824","74979"
"825","74980"
"826","74981"
"827","74982"
"828","74983"
"829","74984"
"830","74985"
"831","74986"
"832","74987"
"833","74989"
"834","74990"
"835","74991"
"836","74993"
"837","74994"
"838","74995"
"839","74997"
"840","74998"
"841","75003"
"842","75004"
"843","75005"
"844","75080"
"845","75233"
"846","75234"
"847","75235"
"848","75236"
"849","75237"
"850","75399"
"851","75400"
"852","75401"
"853","75448"
"854","75497"
"855","75682"
"856","75683"
"857","75712"
"858","75841"
"859","76331"
"860","76332"
"861","76333"
"862","77183"
"863","77184"
"864","77185"
"865","77188"
"866","77189"
"867","77191"
"868","77193"
"869","77194"
"870","77728"
"871","78603"
"872","78606"
"873","78739"
"874","78782"
"875","78927"
"876","78928"
"877","78929"
"878","78998"
"879","79070"
"880","79074"
"881","79075"
"882","79076"
"883","79293"
"884","79294"
"885","79318"
"886","79319"
"887","79374"
"888","79456"
"889","79457"
"890","79458"
"891","79618"
"892","79619"
"893","79620"
"894","79703"
"895","79704"
"896","79705"
"897","80472"
"898","80682"
"899","81300"
"900","84390"
"901","85488"
"902","86440"
"903","86442"
"904","86482"
"905","86483"
"906","86484"
"907","86485"
"908","86486"
"909","86487"
"910","86488"
"911","86489"
"912","86490"
"913","86491"
"914","86492"
"915","86493"
"916","86494"
"917","86495"
"918","86496"
"919","86497"
"920","86498"
"921","86499"
"922","86500"
"923","86501"
"924","86502"
"925","86503"
"926","86512"
"927","86513"
"928","86514"
"929","86516"
"930","86808"
"931","86810"
"932","86812"
"933","86813"
"934","86816"
"935","86817"
"936","86819"
"937","86821"
"938","86866"
"939","86867"
"940","86871"
"941","86872"
"942","86873"
"943","86874"
"944","86875"
"945","86929"
"946","87058"
"947","87059"
"948","87206"
"949","87279"
"950","87299"
"951","87300"
"952","87327"
"953","87328"
"954","87329"
"955","87330"
"956","87331"
"957","87332"
"958","87333"
"959","87348"
"960","87349"
"961","87350"
"962","87689"
"963","87690"
"964","88370"
"965","88372"
"966","88619"
"967","89166"
"968","89288"
"969","89549"
"970","89743"
"971","89744"
"972","90510"
